Sample_ID,pH,BOD (mg/L),COD (mg/L),TSS (mg/L),TDS (mg/L),Chromium (mg/L),Sulfides (mg/L),Ammonia (mg/L),Conductivity (uS/cm),Temperature (°C),Status
VEGE_0243,6.25,2935.28,6123.64,1205.31,8740.72,1.26,42.08,15.35,8321.62,36.42,Critical
VEGE_0244,6.48,2426.4,3606.37,2327.21,6604.33,1.59,33.24,88.98,7509.91,28.76,Critical
VEGE_0245,5.68,1294.7,6700.84,1279.48,9572.29,0.92,66.14,34.62,11327.05,26.75,Critical
VEGE_0246,4.57,1898.07,6365.54,2106.77,6207.08,1.3,46.1,60.03,8383.38,36.89,Critical
VEGE_0247,6.0,2272.26,4067.64,1666.12,6842.54,0.45,33.18,12.14,6823.86,38.9,Critical
VEGE_0248,5.11,4925.43,18373.19,3287.7,5327.21,4.15,38.5,30.26,6955.55,36.99,Critical
VEGE_0249,5.69,2038.53,5547.19,2383.15,5080.16,0.77,11.12,55.58,6865.25,34.08,Critical
VEGE_0250,6.44,1561.2,4064.98,1714.09,9433.23,0.76,11.31,29.33,10517.6,32.97,Critical
VEGE_0251,5.6,2682.05,4327.11,2178.2,6768.93,0.48,35.53,67.6,8437.16,33.57,Critical
VEGE_0252,4.72,1713.57,6732.26,2004.75,7199.41,1.26,70.49,98.24,7445.8,40.38,Critical
VEGE_0253,5.04,1333.87,5568.77,2192.24,8216.78,0.75,12.91,30.44,8883.4,41.97,Critical
VEGE_0254,5.62,2251.66,3864.47,2226.07,4032.45,1.34,36.86,68.03,4157.32,39.98,Critical
VEGE_0255,5.57,1726.52,5040.89,2195.24,9305.56,1.7,70.1,87.25,9222.85,36.27,Critical
VEGE_0256,5.01,2029.68,6737.38,2055.44,6410.03,0.4,58.52,65.66,7846.44,32.24,Critical
VEGE_0257,4.59,2672.07,6099.75,1884.48,5595.76,0.78,50.12,94.17,6971.6,30.23,Critical
VEGE_0258,4.74,2658.26,5251.63,1438.87,5720.66,1.81,77.69,35.82,6699.32,27.5,Critical
VEGE_0259,5.6,2259.16,3394.99,2428.8,8475.38,0.36,72.36,34.57,10359.88,35.06,Critical
VEGE_0260,5.15,2139.36,6105.59,2441.4,4769.13,1.04,78.19,48.01,5874.63,35.78,Critical
VEGE_0261,5.26,2615.83,3103.9,2444.51,7311.83,0.25,64.72,66.76,6634.38,36.67,Critical
VEGE_0262,5.28,1265.83,3598.65,1541.0,9765.16,1.95,57.69,90.55,13520.77,27.03,Critical
VEGE_0263,5.7,2845.2,6518.97,1849.1,6566.39,0.75,65.64,85.98,6391.53,31.43,Critical
VEGE_0264,5.23,2468.81,4200.56,1858.85,9100.42,0.56,48.21,34.23,11295.53,38.52,Critical
VEGE_0265,5.06,1583.01,5699.77,2330.37,6062.5,1.32,36.48,32.06,6566.38,28.36,Critical
VEGE_0266,4.93,2098.23,5934.84,1121.73,6261.29,0.26,64.48,89.0,8024.53,37.19,Critical
VEGE_0267,4.81,2674.23,6785.46,1928.27,4220.15,0.26,23.43,17.12,4068.92,27.98,Critical
VEGE_0268,5.73,2209.16,5247.69,2479.77,6207.29,0.92,49.12,60.55,7358.44,38.3,Critical
VEGE_0269,6.45,1201.73,5750.8,2130.89,9976.39,1.39,15.21,49.55,12737.44,27.27,Critical
VEGE_0270,4.66,2836.41,3390.16,1176.33,7461.94,0.71,79.69,41.12,7589.91,34.19,Critical
VEGE_0271,5.73,2933.96,3071.57,1054.88,4086.57,0.54,38.67,73.67,4661.9,33.03,Critical
VEGE_0272,5.81,2914.14,5905.43,1207.66,4222.47,0.25,31.11,51.7,5419.01,26.84,Critical
VEGE_0273,5.84,2029.27,4158.63,2355.93,6774.79,0.25,69.5,79.09,9047.69,33.29,Critical
VEGE_0274,5.13,1654.5,3962.54,1823.84,7828.57,0.64,73.2,26.6,7399.59,37.73,Critical
VEGE_0275,4.9,1744.35,4371.98,1593.11,8554.16,0.77,15.75,61.35,10699.33,27.46,Critical
VEGE_0276,4.98,2951.44,6761.24,2209.42,9107.68,0.38,14.14,26.73,10593.87,33.05,Critical
VEGE_0277,5.86,2929.13,3216.04,1332.87,9620.39,0.19,33.14,70.1,12088.41,31.78,Critical
VEGE_0278,4.81,1651.53,6852.74,1053.81,9917.22,1.7,12.75,86.91,10120.36,30.52,Critical
VEGE_0279,6.18,2199.29,6077.18,1188.3,7558.71,1.96,62.89,74.13,9256.77,37.62,Critical
VEGE_0280,5.34,2285.07,3337.98,1532.25,9786.89,0.49,57.57,22.45,11687.89,34.02,Critical
VEGE_0281,4.69,1360.26,4544.19,1660.07,7793.17,1.47,20.3,30.37,9978.93,29.84,Critical
VEGE_0282,5.5,2323.98,4507.73,1387.15,9757.73,1.47,12.16,94.31,10786.84,29.1,Critical
VEGE_0283,4.86,2976.69,5242.71,1254.4,6309.39,1.65,63.07,27.58,6535.96,31.02,Critical
VEGE_0284,5.73,1269.43,6446.65,2056.71,8422.88,1.24,10.42,70.4,10296.42,37.83,Critical
VEGE_0285,6.44,1236.5,4829.64,1784.84,4151.23,0.72,48.42,10.53,4274.1,27.15,Critical
VEGE_0286,6.31,2190.7,6010.6,2081.59,7730.6,1.36,78.2,23.52,10601.97,29.0,Critical
VEGE_0287,4.99,1546.28,4392.54,1177.72,4885.91,1.93,34.85,81.92,4848.93,36.54,Critical
VEGE_0288,5.3,1231.87,4792.23,1817.72,8603.87,1.29,29.0,31.48,10638.38,31.47,Critical
VEGE_0289,5.98,1940.33,5589.75,2184.0,4407.39,1.07,28.42,87.34,4646.04,38.36,Critical
VEGE_0290,6.38,1614.03,3682.45,2473.83,7994.49,0.43,31.76,46.93,10315.18,33.49,Critical
VEGE_0291,6.15,2556.3,3609.23,1729.33,7305.85,1.22,66.28,18.61,9198.8,32.77,Critical
VEGE_0292,6.25,2643.71,3141.02,1815.89,8897.32,0.15,63.11,99.09,8374.5,35.69,Critical
VEGE_0293,4.55,2660.42,5019.97,1468.15,5520.29,1.98,65.16,24.02,5258.76,39.52,Critical
VEGE_0294,5.26,1272.29,5102.18,1863.25,6638.92,1.55,14.88,56.41,9291.05,29.86,Critical
VEGE_0295,4.91,2612.86,5240.54,1798.32,9743.04,1.48,52.24,13.87,12758.09,26.68,Critical
VEGE_0296,6.26,2019.67,5735.13,1765.81,9769.12,0.33,22.67,58.65,9222.11,36.84,Critical
VEGE_0297,4.94,2916.67,5191.75,1189.11,8119.36,1.84,37.1,31.35,7580.27,27.63,Critical
VEGE_0298,4.8,2626.04,3038.29,1205.34,7335.71,1.51,45.14,35.36,8656.88,26.98,Critical
VEGE_0299,5.19,2225.73,6379.95,1117.17,6275.78,0.42,63.58,63.43,5750.59,41.35,Critical
VEGE_0300,5.18,2369.59,5795.84,1055.14,8636.17,1.76,75.53,44.99,9177.22,27.71,Critical
VEGE_0301,5.76,2586.18,5010.87,1605.24,7974.17,0.86,28.29,95.4,8757.55,39.97,Critical
VEGE_0302,5.14,2658.5,5527.07,2306.99,5652.66,1.26,18.15,69.47,7238.41,41.2,Critical
VEGE_0303,4.99,1407.0,3419.22,1385.14,9841.64,1.31,33.05,20.88,12850.61,34.6,Critical
VEGE_0304,6.13,1859.67,4269.73,1369.38,9577.85,0.56,71.78,76.41,9934.11,30.95,Critical
VEGE_0305,5.53,2454.23,5910.19,1261.88,4985.38,1.96,73.37,84.05,6091.31,36.54,Critical
VEGE_0306,5.24,1642.43,5580.5,1158.17,4881.5,1.02,25.88,28.2,5958.43,31.57,Critical
VEGE_0307,4.63,1756.36,4461.44,1952.55,8520.52,1.23,53.76,58.84,8675.48,28.0,Critical
VEGE_0308,6.45,2344.22,6013.14,1350.14,5356.52,1.89,23.0,28.7,4841.07,39.82,Critical
VEGE_0309,5.74,1888.04,3840.43,2298.96,7750.76,0.82,71.54,12.92,7016.77,36.03,Critical
VEGE_0310,4.55,1254.45,3858.91,1199.8,9208.56,1.08,39.82,90.12,11191.72,39.98,Critical
VEGE_0311,5.17,4013.35,13352.93,2744.39,4214.97,1.66,38.84,99.23,4835.35,34.8,Critical
VEGE_0312,5.02,2719.81,4344.84,1092.25,7715.44,0.96,54.44,69.76,8801.35,38.15,Critical
VEGE_0313,5.4,2617.09,3053.01,1578.02,4102.45,1.8,41.67,53.0,4696.58,35.23,Critical
VEGE_0314,6.45,1724.54,4007.38,1085.72,5405.37,0.87,42.73,80.31,6528.88,41.12,Critical
VEGE_0315,6.24,2515.61,6239.54,2315.49,4327.92,1.7,12.45,37.43,4036.41,28.4,Critical
VEGE_0316,4.68,1528.73,3058.95,2055.57,8573.68,0.26,53.49,96.88,10030.24,28.58,Critical
VEGE_0317,5.08,2612.91,5719.03,1445.71,4620.0,1.78,12.49,94.64,5893.76,41.65,Critical
VEGE_0318,4.62,2778.38,3550.62,2303.1,5233.8,0.89,26.86,19.73,4943.5,33.68,Critical
VEGE_0319,5.18,2799.01,6019.5,1251.48,7934.91,0.74,52.91,17.26,10106.09,37.52,Critical
VEGE_0320,6.16,1564.73,4619.89,2476.94,8168.71,1.2,29.78,36.63,11091.08,35.65,Critical
VEGE_0321,5.7,2283.76,6839.48,1832.01,5262.44,1.24,44.56,63.7,7205.28,38.75,Critical
VEGE_0322,5.8,2361.16,6955.03,1846.56,4195.85,0.43,12.99,95.43,4973.99,33.28,Critical
VEGE_0323,6.26,1486.11,6152.25,1618.6,6928.34,0.53,30.28,56.67,7640.31,33.43,Critical
VEGE_0324,6.44,1867.91,4553.32,1172.59,9460.89,1.01,67.49,63.97,8605.66,35.47,Critical
VEGE_0325,5.85,2530.43,4637.17,1443.73,9486.32,1.84,12.44,83.24,11219.03,30.26,Critical
VEGE_0326,5.87,2025.56,6267.37,1860.11,5252.91,1.31,57.45,68.83,6903.94,39.77,Critical
VEGE_0327,4.95,2471.18,6853.37,1055.47,4592.09,0.11,57.28,67.59,6248.3,32.81,Critical
VEGE_0328,4.6,2410.41,6189.25,2351.31,5345.5,0.81,63.54,60.91,5897.52,28.09,Critical
VEGE_0329,5.53,2695.7,5682.68,2130.74,4860.92,1.43,12.91,55.47,5970.38,27.21,Critical
VEGE_0330,4.82,2112.87,4972.37,1942.11,9563.3,0.37,66.64,17.85,9403.96,30.52,Critical
VEGE_0331,5.66,4499.45,19836.99,3158.79,7333.04,2.73,48.23,41.98,8100.09,31.81,Critical
VEGE_0332,6.47,2692.82,6195.38,1645.63,4644.62,1.33,67.35,97.73,6008.92,28.68,Critical
VEGE_0333,6.14,2224.44,3444.33,1897.09,8171.53,1.54,49.9,66.52,11087.03,33.1,Critical
VEGE_0334,5.32,1389.18,6570.89,1234.15,6361.07,1.8,77.09,27.65,5978.68,31.11,Critical
VEGE_0335,6.17,1689.47,4086.67,1458.04,8205.45,0.78,66.16,23.68,8848.02,39.81,Critical
VEGE_0336,5.31,2546.62,6293.77,1919.01,7235.27,1.28,60.87,99.07,7185.79,38.49,Critical
VEGE_0337,5.41,2817.24,3389.53,1665.94,5438.43,0.11,10.89,32.76,7469.36,37.19,Critical
VEGE_0338,5.05,2128.01,6609.04,2276.34,4957.47,0.33,57.52,23.46,6252.62,29.27,Critical
VEGE_0339,5.59,1979.65,6447.04,1829.12,7716.54,1.54,45.86,50.68,10786.25,34.63,Critical
VEGE_0340,5.04,2183.88,3227.66,1184.35,6764.42,1.02,62.1,54.67,8693.68,28.57,Critical
VEGE_0341,6.13,1215.06,4143.21,1963.51,9387.68,1.3,73.25,27.06,8658.26,34.18,Critical
VEGE_0342,4.85,2418.79,4937.05,2177.69,8988.16,0.26,49.37,67.89,11455.85,29.63,Critical
VEGE_0343,4.78,1698.15,6154.6,1188.01,7381.75,0.67,59.29,47.3,8818.39,35.72,Critical
VEGE_0344,5.28,2220.08,5090.38,1952.21,7200.34,1.09,27.71,59.35,9767.1,33.33,Critical
VEGE_0345,4.68,1952.91,5157.0,2203.04,7971.37,0.16,66.38,11.01,10752.1,34.19,Critical
VEGE_0346,5.82,2471.59,6309.38,1559.75,9904.33,1.63,72.73,33.89,9560.4,35.78,Critical
VEGE_0347,6.16,4069.4,7605.45,7430.38,7753.78,1.8,44.37,65.35,9347.44,28.87,Critical
VEGE_0348,5.68,2978.7,4207.47,1273.42,6835.1,1.52,55.91,54.2,8375.04,26.41,Critical
VEGE_0349,4.96,1239.79,5650.34,1591.43,6391.44,1.31,78.51,63.09,8513.8,32.95,Critical
VEGE_0350,6.45,1982.51,5590.13,2415.05,6597.36,0.7,52.7,20.57,6096.05,30.91,Critical
VEGE_0351,5.52,2989.52,4310.84,1484.29,7270.68,1.71,78.87,99.58,9898.67,33.81,Critical
VEGE_0352,6.29,1560.76,6380.39,1927.55,4096.98,0.74,36.41,76.62,4542.23,39.14,Critical
VEGE_0353,6.43,1219.25,6903.23,1474.13,5506.77,1.65,57.29,37.21,6266.09,37.19,Critical
VEGE_0354,5.29,7376.14,13067.52,4480.99,4693.19,1.72,58.92,40.63,6436.35,39.53,Critical
VEGE_0355,6.02,1876.01,3854.15,1257.15,8590.61,1.38,66.23,14.14,9338.08,36.11,Critical
VEGE_0356,5.91,1946.52,5367.39,1176.58,5131.25,0.5,46.97,47.37,5939.08,29.33,Critical
VEGE_0357,5.79,1542.62,6587.21,1259.33,9990.48,0.22,30.72,56.11,10383.9,30.94,Critical
VEGE_0358,4.88,2176.61,6881.56,1777.11,9476.94,0.89,41.07,44.45,8826.78,29.49,Critical
VEGE_0359,4.62,1652.38,5896.85,1928.48,7727.42,0.92,54.46,72.71,8154.52,39.98,Critical
VEGE_0360,5.93,1990.35,6274.53,2035.19,6552.27,1.58,76.48,95.66,7123.87,26.71,Critical
VEGE_0361,4.73,2881.27,3979.06,2300.89,8790.37,0.76,33.88,29.95,10694.45,34.08,Critical
VEGE_0362,6.04,1242.98,6861.31,1132.27,4638.5,1.16,39.97,48.19,4644.12,39.12,Critical
VEGE_0363,5.16,1455.75,4162.39,1630.22,9363.13,1.7,56.28,93.62,11347.1,38.02,Critical
VEGE_0364,5.22,1754.04,5451.59,2280.44,5914.11,1.09,11.47,97.65,7914.29,32.86,Critical
VEGE_0365,5.74,1727.16,6993.7,1170.78,5723.29,1.1,15.68,62.93,7320.59,28.18,Critical
VEGE_0366,5.64,1441.52,3642.71,1579.71,8026.73,0.13,54.22,30.56,11101.0,32.73,Critical
VEGE_0367,5.68,2559.79,3611.22,2385.23,7863.97,1.7,41.72,26.08,8695.98,31.0,Critical
VEGE_0368,4.87,2854.73,5677.74,2224.89,9293.32,1.79,25.51,13.43,12389.71,34.12,Critical
VEGE_0369,5.08,2625.47,4246.25,1863.51,8543.69,0.32,18.75,13.71,9315.14,41.85,Critical
VEGE_0370,6.43,2899.13,6503.26,1462.75,8568.4,1.79,41.39,90.3,10346.34,37.17,Critical
VEGE_0371,5.78,2533.17,6342.91,2392.08,7298.97,0.68,65.4,90.13,8873.89,33.58,Critical
VEGE_0372,5.33,2557.42,4530.68,1559.35,5893.02,1.5,37.63,94.06,6818.56,41.23,Critical
VEGE_0373,4.78,2782.03,6411.71,1564.36,8009.26,1.76,35.31,94.43,9895.78,28.59,Critical
VEGE_0374,6.44,2435.72,3620.23,1876.83,8882.7,1.6,64.96,42.78,8783.3,34.98,Critical
VEGE_0375,6.25,2196.84,3434.98,2017.02,9968.33,0.97,41.51,53.52,11494.14,35.71,Critical
VEGE_0376,4.76,2573.32,6272.66,1752.11,5253.08,1.26,44.6,72.29,5206.22,28.58,Critical
VEGE_0377,5.12,1884.93,9433.14,6462.84,8449.55,3.07,40.87,65.9,11169.36,35.98,Critical
VEGE_0378,4.67,2245.16,3710.38,1399.77,5500.42,1.2,56.61,77.5,7217.54,27.3,Critical
VEGE_0379,5.27,1901.01,5061.4,1901.27,7686.72,1.09,78.7,72.49,8167.7,30.87,Critical
VEGE_0380,4.86,1485.32,3082.52,2452.47,8909.96,1.43,47.24,63.45,8363.67,35.73,Critical
VEGE_0381,5.56,2279.85,4881.12,1357.71,5741.08,1.59,11.93,36.65,7864.44,40.17,Critical
VEGE_0382,5.41,2498.36,5795.35,1166.97,4911.91,0.26,56.83,37.54,6622.9,36.17,Critical
VEGE_0383,4.9,2936.86,5597.27,2430.9,6697.94,1.57,56.07,87.29,6889.75,40.8,Critical
VEGE_0384,5.78,1460.4,6763.96,2487.35,6143.0,0.88,25.95,61.45,6769.02,37.83,Critical
VEGE_0385,4.68,1337.13,3218.68,1908.04,9458.55,1.25,33.61,84.5,10576.2,33.78,Critical
VEGE_0386,5.33,2564.87,6506.39,1871.91,6645.15,1.23,25.03,25.56,7657.79,29.68,Critical
VEGE_0387,6.25,1231.77,3779.71,1194.47,7262.0,0.25,63.99,91.26,9586.71,30.08,Critical
VEGE_0388,4.83,2611.57,3425.46,1361.91,6397.01,0.42,16.01,15.84,7448.71,27.66,Critical
VEGE_0389,6.31,2811.61,3512.62,1756.05,5077.35,1.35,24.16,51.44,4659.27,26.25,Critical
VEGE_0390,6.33,2634.53,3780.58,1296.68,6707.98,1.2,79.24,90.04,6510.4,33.4,Critical
VEGE_0391,5.71,2229.4,3220.57,1209.87,8434.6,0.96,25.42,90.02,8475.7,32.78,Critical
VEGE_0392,4.76,1556.22,6964.43,1878.19,8420.13,1.34,48.75,69.94,8686.84,31.5,Critical
VEGE_0393,6.37,1780.88,4408.53,1192.44,4514.37,1.07,37.41,60.34,6041.51,40.13,Critical
VEGE_0394,5.67,2170.89,3247.38,2033.04,4143.57,1.33,58.72,93.36,5332.78,30.1,Critical
VEGE_0395,5.45,1376.3,6915.28,1378.65,8618.02,1.33,62.82,98.42,11662.1,34.15,Critical
VEGE_0396,6.34,1934.22,6544.57,2030.61,8358.99,1.67,19.27,92.86,8412.74,29.77,Critical
VEGE_0397,4.67,1992.64,4810.36,1993.25,9171.56,0.45,24.54,39.06,10762.28,41.65,Critical
VEGE_0398,5.97,2724.61,5113.2,1944.87,6781.19,0.53,57.08,90.1,7140.73,33.79,Critical
VEGE_0399,6.34,2095.8,4317.0,2210.07,7113.53,1.63,68.06,87.09,6955.37,33.73,Critical
VEGE_0400,5.01,1749.49,6223.48,1237.83,6000.06,1.21,47.62,33.76,6551.41,40.56,Critical
VEGE_0401,5.14,1719.38,4107.44,1314.33,7058.78,1.51,55.82,98.46,6908.86,35.29,Critical
VEGE_0402,5.29,2787.01,4810.16,2487.19,6697.58,0.23,32.56,57.12,9253.51,39.25,Critical
VEGE_0403,4.83,1660.07,6572.23,2246.85,7875.76,0.27,39.62,23.37,10023.21,27.39,Critical
VEGE_0404,5.51,2282.39,5613.76,1895.43,7197.91,0.54,21.31,53.61,9753.24,41.53,Critical
VEGE_0405,6.16,1238.48,4580.45,2456.02,7459.23,0.86,64.99,86.81,7339.19,37.54,Critical
VEGE_0406,5.37,2652.38,4004.15,1992.32,6064.28,1.54,78.92,65.59,8445.53,36.05,Critical
VEGE_0407,5.35,2400.46,6893.23,1394.9,4944.31,1.55,45.77,66.92,5836.81,34.81,Critical
VEGE_0408,5.76,1766.88,3174.24,1868.29,6172.08,0.91,10.07,98.64,6057.27,27.54,Critical
VEGE_0409,6.05,1265.78,3324.32,2418.37,8248.81,1.5,79.19,14.41,7801.73,41.19,Critical
VEGE_0410,4.68,2777.68,3505.56,2066.0,6309.83,0.48,14.6,13.8,6507.97,27.05,Critical
VEGE_0411,5.81,2150.78,4373.55,2435.28,9082.55,1.37,40.73,84.82,10345.05,29.95,Critical
VEGE_0412,5.35,1926.08,3688.58,2373.81,8045.96,0.25,14.0,57.12,11138.29,32.47,Critical
VEGE_0413,4.92,2722.55,4372.65,1476.64,7072.46,1.03,39.73,34.13,6848.92,26.66,Critical
VEGE_0414,4.99,2471.5,3594.73,2416.75,8709.28,1.97,67.17,76.86,10425.98,36.76,Critical
VEGE_0415,5.55,1690.18,4708.7,2265.35,7272.07,1.84,57.28,60.4,9917.76,29.63,Critical
VEGE_0416,6.17,2262.02,5743.1,2399.48,5416.05,0.89,49.74,64.62,5874.39,33.14,Critical
VEGE_0417,6.49,2829.06,6860.4,2134.12,4406.71,0.6,72.75,46.5,4888.53,26.35,Critical
VEGE_0418,5.8,2771.2,5988.43,2424.26,4566.44,1.6,68.31,43.64,4795.33,32.63,Critical
VEGE_0419,5.2,1488.37,4186.23,2321.02,5951.05,0.61,63.68,18.88,6391.93,26.35,Critical
VEGE_0420,5.51,2127.52,4568.64,2338.54,8154.08,1.32,39.1,97.37,9116.59,30.33,Critical
VEGE_0421,5.14,1390.11,5714.08,2330.8,6897.26,1.04,54.31,73.4,8874.58,35.55,Critical
VEGE_0422,6.12,1454.63,6075.1,1305.59,7580.36,0.19,30.9,90.88,7510.88,31.31,Critical
VEGE_0423,6.48,1362.1,6670.5,1197.95,8677.45,0.15,60.41,45.87,9392.11,28.13,Critical
VEGE_0424,5.89,2855.15,4595.61,1300.94,5022.43,1.35,78.02,77.26,4735.48,40.71,Critical
VEGE_0425,4.91,2484.64,5083.47,1998.5,5033.64,1.3,17.74,13.73,6426.74,34.77,Critical
VEGE_0426,5.03,2733.73,3013.93,1732.51,4832.52,1.63,52.39,43.36,4804.54,26.28,Critical
VEGE_0427,5.88,2158.32,5920.09,1873.86,7104.66,1.99,76.11,87.11,7460.09,41.45,Critical
VEGE_0428,6.11,2531.27,6211.77,2419.13,8491.04,1.37,78.23,72.31,9127.68,35.68,Critical
VEGE_0429,6.34,2591.19,4732.85,1141.21,8717.72,1.56,77.34,14.44,12001.38,39.21,Critical
VEGE_0430,5.77,1951.12,6887.59,2429.27,5593.73,1.68,75.75,90.77,6351.25,33.22,Critical
VEGE_0431,4.96,1593.86,5705.79,1985.74,6218.45,1.72,39.8,60.17,7018.76,32.86,Critical
VEGE_0432,4.95,2835.13,3310.4,1898.72,8036.08,0.25,66.42,49.33,10785.24,28.71,Critical
VEGE_0433,4.91,2252.07,5690.02,1094.24,8873.75,0.74,29.78,33.6,11984.29,30.83,Critical
VEGE_0434,5.84,2338.96,3207.29,1319.59,4783.79,0.96,75.0,20.84,4780.47,34.3,Critical
VEGE_0435,5.86,2687.02,4135.91,1767.35,8371.0,0.48,72.11,70.92,11500.91,38.09,Critical
VEGE_0436,5.88,1756.05,4574.68,2461.07,5538.28,0.44,35.49,10.98,7254.08,26.64,Critical
VEGE_0437,5.87,2465.21,4194.1,1939.73,9380.29,1.07,22.87,20.63,11057.59,35.01,Critical
VEGE_0438,5.89,1371.96,6970.82,1441.61,9722.04,0.26,72.48,32.2,11430.11,33.59,Critical
VEGE_0439,4.64,1491.1,4299.84,2269.14,9088.3,1.85,33.86,97.68,12545.42,34.41,Critical
VEGE_0440,6.38,2117.93,5707.52,1884.65,7223.29,1.69,69.52,29.71,9689.45,41.29,Critical
VEGE_0441,4.52,2283.95,3926.61,2316.76,5020.03,1.85,35.96,73.43,5724.19,35.2,Critical
VEGE_0442,6.18,2027.83,3333.72,1740.71,9713.02,1.85,66.34,11.26,11290.78,39.3,Critical
VEGE_0443,6.45,4579.11,12421.24,2106.27,4057.25,3.47,73.63,36.79,4505.49,26.25,Critical
VEGE_0444,4.95,2228.34,3229.3,1801.63,5441.5,1.89,20.44,27.1,5140.11,31.79,Critical
VEGE_0445,6.48,2231.13,4500.88,1962.51,5334.82,1.14,29.21,45.67,5347.4,39.17,Critical
VEGE_0446,4.86,1458.11,5449.72,1265.86,4582.94,1.31,33.27,98.22,6029.07,36.65,Critical
VEGE_0447,5.26,1222.42,4764.7,2494.81,8993.71,1.75,58.07,29.93,8858.65,32.01,Critical
VEGE_0448,4.95,4777.74,15363.22,2631.25,7869.48,4.87,69.36,93.13,9025.98,29.15,Critical
VEGE_0449,4.53,1463.37,6467.23,2228.82,4277.22,1.56,59.02,49.47,5494.87,39.85,Critical
VEGE_0450,6.19,2775.6,6674.63,1227.06,9715.36,1.24,74.83,95.12,11959.13,27.75,Critical
VEGE_0451,5.18,2063.82,3554.48,1550.33,8826.01,0.47,79.74,11.4,10337.51,26.81,Critical
VEGE_0452,5.82,1736.89,5383.08,2020.01,6772.09,1.58,54.71,64.85,6194.66,34.72,Critical
VEGE_0453,5.69,1341.76,5122.63,1687.27,8260.65,1.72,51.46,70.06,8893.53,29.1,Critical
VEGE_0454,6.16,5056.13,11101.15,5995.15,6090.49,2.44,33.97,19.81,6386.08,33.86,Critical
VEGE_0455,6.44,2229.6,3089.62,2001.62,6239.93,1.19,39.73,91.9,6181.57,33.68,Critical
VEGE_0456,5.85,1445.9,3350.16,1649.45,4860.12,1.6,17.71,21.83,4956.53,26.13,Critical
VEGE_0457,4.63,1446.01,5330.78,1683.77,8662.96,0.81,51.43,26.05,11274.68,35.77,Critical
VEGE_0458,5.9,1300.11,6331.36,1551.15,6801.42,0.53,68.39,60.86,6201.78,26.91,Critical
VEGE_0459,4.56,1391.22,6716.25,2235.3,6312.17,0.7,25.07,84.4,8479.33,40.24,Critical
VEGE_0460,5.47,2491.68,5481.81,1504.41,5905.95,1.36,23.77,33.2,7912.75,28.89,Critical
VEGE_0461,5.32,2259.38,3205.13,2428.72,9518.68,1.83,15.82,11.36,9279.95,34.03,Critical
VEGE_0462,5.17,2751.43,6618.04,1641.53,8554.55,0.71,74.05,23.94,10826.99,39.9,Critical
VEGE_0463,5.52,2235.64,10221.73,4220.21,9371.81,4.41,40.11,36.47,9217.45,35.01,Critical
VEGE_0464,6.11,1257.13,6353.23,2055.9,8413.9,0.14,69.93,68.28,9274.36,35.27,Critical
VEGE_0465,6.31,1783.44,6000.46,2210.84,7080.6,1.9,66.17,24.9,8588.58,31.25,Critical
VEGE_0466,6.03,2653.38,4696.06,2318.19,6345.33,1.78,39.51,23.84,6258.66,33.16,Critical
VEGE_0467,5.11,2397.8,4887.59,2050.08,4529.09,0.62,59.57,74.09,5056.0,35.82,Critical
VEGE_0468,6.41,2317.07,3480.82,1862.13,4322.26,0.81,27.9,97.87,3965.9,34.56,Critical
VEGE_0469,6.19,1883.36,6643.95,2428.76,9398.54,1.89,39.5,36.43,8886.66,38.8,Critical
VEGE_0470,5.05,2636.43,3695.54,1040.94,8728.87,0.39,65.31,89.19,8587.46,39.86,Critical
VEGE_0471,6.38,1305.05,3820.58,2169.99,8073.11,1.91,36.24,69.24,8264.6,31.47,Critical
VEGE_0472,5.88,2627.6,4493.02,1314.98,5664.73,0.16,53.26,65.46,5619.17,29.31,Critical
VEGE_0473,5.56,2723.65,5042.88,1009.51,4924.87,1.08,12.51,16.64,6581.0,41.53,Critical
VEGE_0474,5.19,2594.2,16778.47,4275.55,5834.7,0.49,75.82,72.82,6749.26,38.47,Critical
VEGE_0475,6.49,2075.71,5188.41,2489.07,6505.3,1.33,16.65,41.54,6639.63,35.57,Critical
VEGE_0476,4.85,2252.87,6346.53,1570.39,9467.63,1.17,78.26,19.12,12774.23,33.21,Critical
VEGE_0477,5.47,2384.12,6093.48,1114.99,6181.72,1.55,46.1,39.48,8207.96,35.68,Critical
VEGE_0478,5.1,2778.16,5903.78,1602.24,7639.14,1.63,18.32,79.18,7876.68,32.16,Critical
VEGE_0479,4.89,1804.99,5614.07,2302.39,8780.25,1.86,45.77,99.44,9931.82,40.85,Critical
VEGE_0480,4.81,1375.14,4245.96,1245.8,7472.43,1.09,71.92,69.73,7530.65,32.28,Critical
VEGE_0481,6.07,1783.21,6854.67,1013.33,5128.38,0.11,39.4,91.1,5060.36,32.99,Critical
VEGE_0482,4.78,1909.56,3660.87,1014.6,7653.79,0.32,51.62,91.81,7369.97,26.65,Critical
VEGE_0483,6.02,2259.24,6225.0,2153.33,5121.45,1.02,50.64,46.79,6282.57,39.07,Critical
VEGE_0484,5.69,2615.56,4107.42,1855.47,6065.59,0.54,78.03,72.08,5812.2,37.71,Critical
VEGE_0485,6.16,2011.03,5812.07,2368.0,9993.63,1.14,53.89,45.47,12736.68,30.34,Critical
